 Sample Id,Peak Number,                             Description,               Start Time,  End Time,     Max 12CO2 (ppm),      12CO2 Integral,      13CO2 Integral,           Delta 13C,      12CO2 Baseline,      13CO2 Baseline,           Threshold,Number of data points,Time interval (seconds)
         1,         1,                                        ,      2020/11/17 19:07:21,2020/11/17 19:14:33,               7.211,            2028.888,              22.314,             -21.846,               1.525,               0.016,               5.000,       919,   432.159
         2,         1,                                        ,      2020/11/17 19:30:49,2020/11/17 19:36:47,               5.800,            1513.187,              16.746,             -15.683,               1.230,               0.014,               5.000,       762,   358.411
         3,         1,                                        ,      2020/11/17 19:50:16,2020/11/17 19:56:29,               5.977,            1566.989,              17.221,             -22.504,               1.900,               0.016,               5.000,       793,   373.197
         4,         1,                                        ,      2020/11/17 20:09:21,2020/11/17 20:17:18,               8.852,            2439.006,              26.785,             -23.154,               1.107,               0.011,               5.000,      1013,   476.745
         5,         1,                                        ,      2020/11/17 20:29:48,2020/11/17 20:40:19,              23.825,            6439.238,              70.353,             -28.115,               0.908,               0.004,               5.000,      1339,   630.928
         6,         1,                                        ,      2020/11/17 20:52:41,2020/11/17 21:04:29,              42.650,           11337.983,             123.699,             -29.474,               0.850,               0.006,               5.000,      1504,   708.496
         7,         1,                                        ,      2020/11/17 21:16:34,2020/11/17 21:31:25,             192.895,           50300.409,             548.806,             -29.406,               0.802,               0.005,               5.000,      1892,   891.305
         8,         1,                                        ,      2020/11/17 21:43:26,2020/11/17 21:59:42,             378.136,           98544.233,            1074.901,             -29.637,               0.858,               0.006,               5.000,      2071,   975.686
         9,         1,                                        ,      2020/11/17 22:13:17,2020/11/17 22:18:47,               5.469,            1341.950,              14.785,             -19.880,               1.553,               0.016,               5.000,       701,   330.135
        10,         1,                                        ,      2020/11/17 22:31:22,2020/11/17 22:40:55,              16.355,            4393.743,              48.124,             -25.624,               0.832,               0.005,               5.000,      1217,   572.963
        11,         1,                                        ,      2020/11/17 22:53:07,2020/11/17 23:05:38,              59.903,           15907.510,             174.391,             -24.722,               0.676,               0.005,               5.000,      1593,   750.642
        12,         1,                                        ,      2020/11/17 23:17:54,2020/11/17 23:30:23,              59.804,           15785.919,             173.023,             -24.918,               0.744,               0.005,               5.000,      1589,   748.612
        13,         1,                                        ,      2020/11/17 23:42:23,2020/11/17 23:57:56,             277.165,           72138.663,             789.708,             -26.100,               0.598,               0.002,               5.000,      1980,   932.885
        14,         1,                                        ,      2020/11/18 00:11:51,2020/11/18 00:15:51,               5.151,            1034.393,              11.313,             -27.044,               1.419,               0.016,               5.000,       511,   240.442
        15,         1,                                        ,      2020/11/18 00:27:54,2020/11/18 00:43:33,             282.050,           73650.936,             804.439,             -28.295,               0.617,               0.003,               5.000,      1993,   938.640
        16,         1,                                        ,      2020/11/18 00:55:41,2020/11/18 01:11:05,             246.850,           64622.770,             706.681,             -27.113,               0.774,               0.006,               5.000,      1961,   924.322
        17,         1,                                        ,      2020/11/18 01:23:13,2020/11/18 01:38:10,             200.438,           52501.181,             574.886,             -25.820,               0.791,               0.006,               5.000,      1905,   897.518
        18,         1,                                        ,      2020/11/18 01:50:19,2020/11/18 02:04:44,             154.543,           40547.486,             443.759,             -26.335,               0.791,               0.007,               5.000,      1837,   865.925
        19,         1,                                        ,      2020/11/18 02:16:52,2020/11/18 02:32:33,             297.102,           77583.604,             847.948,             -27.643,               0.726,               0.003,               5.000,      1997,   941.081
        20,         1,                                        ,      2020/11/18 02:44:41,2020/11/18 02:59:34,             197.222,           51636.190,             565.035,             -26.475,               0.887,               0.006,               5.000,      1896,   893.736
        21,         1,                                        ,      2020/11/18 03:11:41,2020/11/18 03:26:31,             193.846,           50575.054,             561.316,             -12.588,               0.732,               0.004,               5.000,      1890,   890.767
        22,         1,                                        ,      2020/11/18 03:38:44,2020/11/18 03:53:30,             193.781,           50485.484,             560.224,             -12.758,               0.686,               0.003,               5.000,      1881,   886.269
