SiteName,SiteID,ReleaseDate,ReleaseTime,gNaCl,gCLeachate,MinFrom0,SampleDate,SampleTime,SpC.us.cm,pH,TempH2O.C,Syringe,V.H2O.mL,V.Air.mL,Alk.ID,DOC.ID,NOTES
Creston,0.0m,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,NA,NA,NA,NA,VT016,70,70,NA,NA,Spatial samples pre-13C addition
Creston,117.5m,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,NA,NA,NA,NA,VT039,70,70,NA,NA,Spatial samples pre-13C addition
Creston,12.2m,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,NA,NA,NA,NA,VT044,70,70,NA,NA,Spatial samples pre-13C addition
Creston,142.8m,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,NA,NA,NA,NA,VT037,70,70,NA,NA,Spatial samples pre-13C addition
Creston,167.5m,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,NA,NA,NA,NA,VT003,70,70,NA,NA,Spatial samples pre-13C addition
Creston,198.4m,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,NA,NA,NA,NA,VT004,70,70,NA,NA,Spatial samples pre-13C addition
Creston,22.5m,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,NA,NA,NA,NA,VT030,70,70,NA,NA,Spatial samples pre-13C addition
Creston,32.9m,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,NA,NA,NA,NA,VT008,70,70,NA,NA,Spatial samples pre-13C addition
Creston,50.0m.upstreamStn,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,NA,NA,NA,NA,VT049,70,70,NA,NA,Spatial samples pre-13C addition; bubble
Creston,56.4m,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,NA,NA,NA,NA,VT012,70,70,NA,NA,Spatial samples pre-13C addition
Creston,67.5m,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,NA,NA,NA,NA,VT019,70,70,NA,NA,Spatial samples pre-13C addition
Creston,75.5m.downstmStn,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,NA,NA,NA,NA,VT014,70,70,NA,NA,Spatial samples pre-13C addition
Creston,94.8m,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,NA,NA,NA,NA,VT048,70,70,NA,NA,Spatial samples pre-13C addition
Creston,Above0,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,9:45:00,NA,NA,NA,VT002,70,70,NA,NA,NA
Creston,Above0,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,9:45:00,NA,NA,NA,VT005,70,70,NA,NA,NA
Creston,Above0,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:05:00,NA,NA,NA,VT032,70,70,NA,NA,NA
Creston,Above0,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:35:00,NA,NA,NA,VT006,70,70,NA,NA,NA
Creston,Above0,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,12:18:00,NA,NA,NA,VT038,70,70,NA,NA,NA
Creston,Above0,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,13:15:00,NA,NA,NA,VT015,70,70,NA,NA,NA
Creston,Above0,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,14:20:00,NA,NA,NA,VT023,70,70,NA,NA,NA
Creston,Above0,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,15:17:00,NA,NA,NA,VT020,70,70,NA,NA,NA
Creston,Above0,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,16:10:00,NA,NA,NA,VT018,70,70,NA,NA,NA
Creston,Above0,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,18:44:45,NA,NA,NA,U014,70,70,D2260,NA,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:25:00,654,7.8,NotEntered,U024,70,70,D1276,A074,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:30:00,653,7.81,NotEntered,U026,70,70,NA,A042,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:35:00,654,7.82,NotEntered,U023,70,70,D1359,A064,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:40:20,655,7.83,NotEntered,U029,70,70,NA,A065,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:43:00,656,7.84,NotEntered,U021,70,70,D1344,A029,NA
Creston,Down,8/9/19,10:15:00,400.00,88.00,NA,8/9/19,11:46:00,657,7.84,NotEntered,U030,70,70,NA,A054,NA
