 Sample Id,Peak Number,                             Description,               Start Time,  End Time,     Max 12CO2 (ppm),      12CO2 Integral,      13CO2 Integral,           Delta 13C,      12CO2 Baseline,      13CO2 Baseline,           Threshold,Number of data points,Time interval (seconds)
         1,         1,                                        ,      2020/11/20 21:26:20,2020/11/20 21:34:11,               8.924,            2412.532,              26.885,              -8.634,               1.122,               0.011,               5.000,      1001,   470.581
         2,         1,                                        ,      2020/11/20 21:49:49,2020/11/20 21:56:16,               6.348,            1641.898,              18.311,              -7.868,               0.798,               0.010,               5.000,       822,   386.599
         3,         1,                                        ,      2020/11/20 22:09:39,2020/11/20 22:16:12,               6.418,            1666.261,              18.608,              -6.540,               1.415,               0.016,               5.000,       836,   392.704
         4,         1,                                        ,      2020/11/20 22:29:08,2020/11/20 22:37:03,               9.195,            2467.045,              27.240,             -17.708,               0.860,               0.007,               5.000,      1011,   475.484
         5,         1,                                        ,      2020/11/20 22:49:34,2020/11/20 22:59:58,              24.297,            6410.913,              70.407,             -22.953,               0.697,               0.006,               5.000,      1325,   623.337
         6,         1,                                        ,      2020/11/20 23:12:16,2020/11/20 23:23:57,              42.802,           11212.509,             122.663,             -26.730,               0.662,               0.006,               5.000,      1491,   701.196
         7,         1,                                        ,      2020/11/20 23:35:59,2020/11/20 23:50:42,             192.622,           49756.097,             543.495,             -28.197,               0.587,               0.003,               5.000,      1876,   883.130
         8,         1,                                        ,      2020/11/21 00:02:43,2020/11/21 00:18:49,             379.487,           97899.162,            1068.053,             -29.382,               0.693,               0.004,               5.000,      2052,   965.443
         9,         1,                                        ,      2020/11/21 00:32:13,2020/11/21 00:38:08,               5.828,            1451.003,              15.958,             -21.547,               1.426,               0.015,               5.000,       755,   354.808
        10,         1,                                        ,      2020/11/21 00:50:45,2020/11/21 01:00:15,              16.726,            4416.713,              48.676,             -19.484,               0.660,               0.007,               5.000,      1212,   569.940
        11,         1,                                        ,      2020/11/21 01:12:37,2020/11/21 01:24:42,              50.128,           13328.835,             146.075,             -24.952,               0.536,               0.005,               5.000,      1541,   725.006
        12,         1,                                        ,      2020/11/21 01:36:58,2020/11/21 01:49:18,              60.037,           15683.059,             171.983,             -24.348,               0.601,               0.002,               5.000,      1572,   739.550
        13,         1,                                        ,      2020/11/21 02:01:21,2020/11/21 02:16:46,             277.691,           71742.686,             786.144,             -25.090,               0.541,               0.003,               5.000,      1965,   925.005
        14,         1,                                        ,      2020/11/21 02:30:19,2020/11/21 02:34:20,               5.675,            1108.185,              12.288,             -13.493,               1.310,               0.016,               5.000,       512,   240.712
        15,         1,                                        ,      2020/11/21 02:46:30,2020/11/21 03:01:09,             183.935,           47801.124,             524.091,             -24.551,               0.521,               0.002,               5.000,      1867,   878.681
        16,         1,                                        ,      2020/11/21 03:13:14,2020/11/21 03:28:54,             311.154,           80576.890,             885.640,             -22.128,               0.661,               0.005,               5.000,      1997,   940.107
        17,         1,                                        ,      2020/11/21 03:41:01,2020/11/21 03:55:39,             177.481,           46158.634,             520.634,               3.491,               0.805,               0.004,               5.000,      1866,   877.627
        18,         1,                                        ,      2020/11/21 04:07:45,2020/11/21 04:22:57,             241.304,           62696.247,             726.840,              31.410,               0.687,               0.007,               5.000,      1939,   912.159
