SampleID,DOC
A001,2.12
A005,2.01
A006,2.09
A007,2.13
A008,4.28
A009,2.03
A010,5.14
A011,5.24
A012,5.20
A017,2.00
A018,2.12
A019,2.02
A020,1.97
A021,2.01
A022,1.97
A024,4.59
A031,1.99
A032,5.26
A033,6.13
A034,1.97
A035,5.08
A036,4.80
A039,2.11
A043,2.06
A044,5.71
A045,2.06
A046,2.11
A047,5.55
A048,5.25
A050,2.12
A052,2.15
A055,4.06
A056,1.99
A057,2.13
A058,2.01
A059,2.05
A060,2.48
A062,2.53
A067,2.60
A068,3.57
A069,2.94
A070,6.23
A071,2.58
A072,2.32
