,SiteName,SiteID,Date,ReleaseTime0,MinFrom0,SampleTime,SpC.us.cm,pH,TempH2O.C,Syringe,V.H2O.mL,V.Air.mL,Alk.ID,DOC.ID,NOTES,DOC_conc,Delta 13C
1,Creston,Up,8/8/2019,10:11:00,NA,10:17:00,NA,NA,NA,VT005,70,70,D1329,A034,NA,1.97,-25.398
2,Creston,Up,8/8/2019,10:11:00,NA,11:18:00,NA,NA,NA,VT007,70,70,NA,A046,NA,2.11,-23.619
3,Creston,Up,8/8/2019,10:11:00,NA,10:21:00,NA,NA,NA,VT013,70,70,D2220,A021,syringe emptied,2.01,-24.271
4,Creston,Up,8/8/2019,10:11:00,NA,10:36:00,NA,NA,NA,VT040,70,75,NA,A045,"written as ""75 mL"" in lab - assuming this means 75mL air added instead of 70",2.06,-24.766
5,Creston,Up,8/8/2019,10:11:00,NA,10:46:00,NA,NA,NA,M017,70,70,D2283,A008,NA,4.28,-2.162
6,Creston,Up,8/8/2019,10:11:00,NA,10:51:00,NA,NA,NA,VT018,70,70,NA,A069,NA,2.94,125.455
7,Creston,Up,8/8/2019,10:11:00,NA,10:55:00,NA,NA,NA,VT045,70,70,NA,A019,NA,2.02,1009.793
8,Creston,Up,8/8/2019,10:11:00,NA,10:58:00,NA,NA,NA,VT012,70,70,D1313,A031,NA,1.99,2043.874
9,Creston,Up,8/8/2019,10:11:00,NA,11:01:00,NA,NA,NA,VT037,70,70,NA,A071,NA,2.58,2547.392
10,Creston,Up,8/8/2019,10:11:00,NA,11:04:00,NA,NA,NA,VT010,70,70,D2333,A009,NA,2.03,4351.666
11,Creston,Up,8/8/2019,10:11:00,NA,11:07:00,NA,NA,NA,VT034,70,70,NA,A072,NA,2.32,4420.777
12,Creston,Up,8/8/2019,10:11:00,NA,11:10:00,NA,NA,NA,M012,70,70,D1356,A070,peaked; starting to decline at 11:11,6.23,1789.344
13,Creston,Up,8/8/2019,10:11:00,NA,11:13:00,NA,NA,NA,VT014,70,70,NA,A022,NA,1.97,4750.615
14,Creston,Up,8/8/2019,10:11:00,NA,11:16:00,NA,NA,NA,VT050,70,70,D1357,A007,NA,2.13,4248.515
15,Creston,Up,8/8/2019,10:11:00,NA,11:19:00,NA,NA,NA,M014,70,70,NA,A032,NA,5.26,1730.26
16,Creston,Up,8/8/2019,10:11:00,NA,11:22:15,NA,NA,NA,VT033,70,70,NA,A067,Note delayed sample time,2.6,1851.469
17,Creston,Up,8/8/2019,10:11:00,NA,11:26:00,NA,NA,NA,M004,70,80,D2374,A055,"had 80mL headspace, 70mL water",4.06,1775.654
18,Creston,Up,8/8/2019,10:11:00,NA,11:31:00,NA,NA,NA,VT031,70,70,NA,A057,NA,2.13,2590.329
19,Creston,Up,8/8/2019,10:11:00,NA,11:36:00,NA,NA,NA,VT023,70,70,NA,A043,cleaned bubbles off loggers,2.06,2174.705
20,Creston,Up,8/8/2019,10:11:00,NA,11:41:00,NA,NA,NA,VT036,70,65,D1312,A060,had 65mL headspace,2.48,1523.596
21,Creston,Up,8/8/2019,10:11:00,NA,11:46:00,NA,NA,NA,VT028,70,70,NA,A059,NA,2.05,1616.633
22,Creston,Up,8/8/2019,10:11:00,NA,11:51:00,NA,NA,NA,VT020,70,70,NA,A020,NA,1.97,1343.261
23,Creston,Up,8/8/2019,10:11:00,NA,11:56:00,NA,NA,NA,VT025,70,70,D1301,A056,NA,1.99,1020.658
24,Creston,Up,8/8/2019,10:11:00,NA,12:01:00,NA,NA,NA,VT038,70,70,NA,A058,NA,2.01,851.777
25,Creston,Up,8/8/2019,10:11:00,NA,12:11:00,NA,NA,NA,M011,70,70,D1284,A048,NA,5.25,-23.692
26,Creston,Up,8/8/2019,10:11:00,NA,12:21:00,NA,NA,NA,M020,70,70,NA,A011,NA,5.24,213.804
27,Creston,Up,8/8/2019,10:11:00,NA,12:31:00,NA,NA,NA,M022,70,70,NA,A044,NA,5.71,140.865
