Date,Time,Vial#,Spl#,#Reps,Sample ID,Type,Mode,Area(cts),Mass(ugC),Conc (PPM as mg/L C),Method,InstrumentID,UserID,Comments
4-Dec-20,4:21:11 PM,-,1,1,Clean Up,CleanUp,TC,3686.844,0,0,DefaultCleanUpMethod,N221730082,toc,--
4-Dec-20,4:21:11 PM,-,1,Avg,Clean Up,CleanUp,TC,3686.844,0,0,DefaultCleanUpMethod,N221730082,toc,--
4-Dec-20,4:21:11 PM,-,1,StDev,Clean Up,CleanUp,TC,0,0,0,DefaultCleanUpMethod,N221730082,toc,--
4-Dec-20,4:21:11 PM,-,1,%RSD,Clean Up,CleanUp,TC,0,0,0,DefaultCleanUpMethod,N221730082,toc,--
4-Dec-20,4:44:21 PM,1,2,1,DI Blank,Sample,TOC,2784.492,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,--
4-Dec-20,4:44:21 PM,1,2,Avg,DI Blank,Sample,TOC,2784.492,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,--
4-Dec-20,4:44:21 PM,1,2,StDev,DI Blank,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,--
4-Dec-20,4:44:21 PM,1,2,%RSD,DI Blank,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,--
4-Dec-20,5:04:12 PM,2,3,1,TOC CAL BLANK,Sample,TOC,2280.316,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,CAL
4-Dec-20,5:04:12 PM,2,3,Avg,TOC CAL BLANK,Sample,TOC,2280.316,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,CAL
4-Dec-20,5:04:12 PM,2,3,StDev,TOC CAL BLANK,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,CAL
4-Dec-20,5:04:12 PM,2,3,%RSD,TOC CAL BLANK,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,CAL
4-Dec-20,5:21:17 PM,3,4,1,TOC CAL#1,Sample,TOC,4998.702,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,CAL
4-Dec-20,5:21:17 PM,3,4,Avg,TOC CAL#1,Sample,TOC,4998.702,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,CAL
