 Sample Id,Peak Number,                             Description,               Start Time,  End Time,     Max 12CO2 (ppm),      12CO2 Integral,      13CO2 Integral,           Delta 13C,      12CO2 Baseline,      13CO2 Baseline,           Threshold,Number of data points,Time interval (seconds)
         1,         1,                                        ,      2020/12/04 22:21:21,2020/12/04 22:30:39,              10.702,            3467.921,              41.230,              57.362,               2.443,               0.023,               5.000,      1187,   557.969
         2,         1,                                        ,      2020/12/04 22:45:05,2020/12/04 22:51:49,               6.326,            1815.605,              20.863,              22.064,               1.898,               0.023,               5.000,       859,   404.208
         4,         1,                                        ,      2020/12/04 23:21:45,2020/12/04 23:29:20,               7.998,            2227.494,              24.981,              -2.383,               1.494,               0.014,               5.000,       967,   454.536
         5,         1,                                        ,      2020/12/04 23:41:46,2020/12/04 23:52:13,              22.874,            6195.301,              68.466,             -16.883,               1.183,               0.011,               5.000,      1332,   626.442
         6,         1,                                        ,      2020/12/05 00:04:32,2020/12/05 00:16:15,              41.475,           10974.578,             120.292,             -24.892,               0.979,               0.010,               5.000,      1495,   702.419
         7,         1,                                        ,      2020/12/05 00:28:17,2020/12/05 00:43:05,             191.247,           49470.476,             540.462,             -28.076,               0.890,               0.007,               5.000,      1887,   888.021
         8,         1,                                        ,      2020/12/05 00:55:01,2020/12/05 01:11:13,             377.599,           97325.732,            1062.300,             -28.950,               0.923,               0.006,               5.000,      2065,   971.711
        10,         1,                                        ,      2020/12/05 01:40:50,2020/12/05 01:50:07,              15.115,            4060.013,              44.897,             -16.174,               0.879,               0.007,               5.000,      1185,   557.325
        11,         1,                                        ,      2020/12/05 02:02:25,2020/12/05 02:14:43,              58.555,           15260.339,             167.706,             -22.271,               0.732,               0.005,               5.000,      1569,   738.151
        12,         1,                                        ,      2020/12/05 02:26:49,2020/12/05 02:42:13,             275.530,           70862.740,             776.451,             -25.150,               0.675,               0.004,               5.000,      1964,   924.513
        14,         1,                                        ,      2020/12/05 03:11:32,2020/12/05 03:24:31,              77.232,           20203.336,             221.312,             -25.398,               0.647,               0.004,               5.000,      1655,   778.682
        15,         1,                                        ,      2020/12/05 03:36:47,2020/12/05 03:49:52,              82.943,           21700.593,             238.147,             -23.619,               0.687,               0.005,               5.000,      1669,   785.298
        16,         1,                                        ,      2020/12/05 04:02:11,2020/12/05 04:15:12,              78.746,           20660.884,             226.586,             -24.271,               0.688,               0.004,               5.000,      1660,   780.805
        17,         1,                                        ,      2020/12/05 04:27:30,2020/12/05 04:40:31,              81.169,           21223.970,             232.645,             -24.766,               0.722,               0.006,               5.000,      1661,   780.708
        18,         1,                                        ,      2020/12/05 04:52:44,2020/12/05 05:07:12,             163.553,           42493.269,             476.580,              -2.162,               0.645,               0.005,               5.000,      1844,   867.193
        19,         1,                                        ,      2020/12/05 05:19:27,2020/12/05 05:33:10,             113.836,           29728.432,             376.059,             125.455,               0.724,               0.007,               5.000,      1749,   822.900
        20,         1,                                        ,      2020/12/05 05:45:25,2020/12/05 05:58:25,              79.241,           20739.273,             468.490,            1009.793,               0.703,               0.006,               5.000,      1660,   780.106
        21,         1,                                        ,      2020/12/05 06:10:41,2020/12/05 06:23:39,              77.771,           20365.525,             696.752,            2043.874,               0.584,               0.006,               5.000,      1657,   778.809
