DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                WarmBoxTemp               EtalonTemp                DasTemp                   MPVPosition               solenoid_valves           OutletValve               MeasurementMode           species                   HP_12CH4                  HP_12CH4_dry              HP_13CH4                  HR_13CH4                  Delta_iCH4_Raw            HP_Delta_iCH4_Raw         HP_Delta_iCH4_30s         HP_Delta_iCH4_2min        HP_Delta_iCH4_5min        HR_12CH4                  HR_12CH4_dry              HR_Delta_iCH4_Raw         HR_Delta_iCH4_30s         HR_Delta_iCH4_2min        HR_Delta_iCH4_5min        ChemDetect                H2O                       12CO2                     12CO2_dry                 13CO2                     Delta_Raw_iCO2            Delta_30s_iCO2            Delta_2min_iCO2           Delta_5min_iCO2           peak87_baseave_spec       peak88_baseave            peakheight_5              peak0_spec                ch4_splinemax             peak30_spec               peak_30                   SSIMPressure              PPF_res                   PPF_base_offset           PPF_slope_offset          PPF_shift                 PPF_CH4_conc              PPF_H2O_conc              PPF_C2H6_conc             PPF_C2H4_conc             PPF_NH3_conc              PPF_H2S_conc              
2018-07-24                02:00:28.999              204.08366897              4898.008055               1532397628.999            0                         963                       1.4794718318E+02          4.5000419617E+01          4.5000724792E+01          4.5011894226E+01          3.7500000000E+01          0.0000000000E+00          0.0000000000E+00          2.9176724473E+04          1.0000000000E+00          1.0600000000E+02          6.4186438994E+00          6.5118476704E+00          6.8462382298E-02          6.8489079951E-02          -6.4401182825E+01         -6.4401182825E+01         -6.3528922766E+01         -6.2318057762E+01         -6.3092850103E+01         6.4197105459E+00          6.5430897303E+00          -6.8505391618E+01         -6.8526986325E+01         -5.7830251685E+01         -6.3974703034E+01         1.0000000000E+00          1.1681561222E+00          7.3819536051E+02          7.5373187541E+02          8.3156281929E+00          -1.8206685523E+01         -1.8767927627E+01         -1.7468275025E+01         -1.7654964684E+01         4.4980864067E+02          1.3157224940E+01          8.7283534207E+00          1.4874382346E+01          1.4629544100E+03          7.1257523456E+01          7.1481129295E+01          0.0000000000E+00          2.4035288971E-01          2.4667837806E+00          6.9665739699E-01          6.0597792628E-04          6.2541801448E+00          1.1776525467E+00          -1.6884507215E+00         1.1828089994E-01          -1.7083793166E-03         -2.2143912049E+01         
2018-07-24                02:00:30.345              204.08368455              4898.008429               1532397630.345            0                         963                       1.4794843779E+02          4.5000444984E+01          4.5000826263E+01          4.5011767387E+01          3.7500000000E+01          0.0000000000E+00          0.0000000000E+00          2.9110201090E+04          1.0000000000E+00          1.5000000000E+02          6.3642220282E+00          6.4566492751E+00          6.7816667939E-02          6.7816258702E-02          -6.5302371274E+01         -6.5302371274E+01         -6.3722604346E+01         -6.2317407462E+01         -6.3136666452E+01         6.3732053976E+00          6.4959145024E+00          -7.0957854101E+01         -6.8189443815E+01         -5.8038839264E+01         -6.4099031297E+01         1.0000000000E+00          1.1683204676E+00          7.3819536051E+02          7.5373187541E+02          8.3156281929E+00          -1.8206685523E+01         -1.8767927627E+01         -1.7468275025E+01         -1.7654964684E+01         4.4980864067E+02          1.3157224940E+01          8.6462920144E+00          1.4775206667E+01          1.4505846431E+03          7.1267548525E+01          7.1491827833E+01          0.0000000000E+00          2.6177919464E-01          2.3754959927E+00          5.7355853244E-01          6.1276480989E-04          6.1987419514E+00          1.1789013632E+00          -1.4742686607E+00         1.2110905165E-01          -3.5680842012E-04         -1.8739666170E+01         
2018-07-24                02:00:31.684              204.08370006              4898.008801               1532397631.685            0                         963                       1.4794634747E+02          4.5000450134E+01          4.5000846863E+01          4.5011741638E+01          3.7500000000E+01          0.0000000000E+00          0.0000000000E+00          2.9062995443E+04          1.0000000000E+00          1.0600000000E+02          6.3642220282E+00          6.4566492751E+00          6.7816667939E-02          6.7816258702E-02          -6.5302371274E+01         -6.5302371274E+01         -6.3722604346E+01         -6.2317407462E+01         -6.3136666452E+01         6.3732053976E+00          6.4959145024E+00          -7.0957854101E+01         -6.8189443815E+01         -5.8038839264E+01         -6.4099031297E+01         1.0000000000E+00          1.1683204676E+00          7.3819536051E+02          7.5373187541E+02          8.3156281929E+00          -1.8206685523E+01         -1.8767927627E+01         -1.7468275025E+01         -1.7654964684E+01         4.4980864067E+02          1.3139743413E+01          8.6462920144E+00          1.4775206667E+01          1.4505846431E+03          7.1267548525E+01          7.1491827833E+01          0.0000000000E+00          2.6177919464E-01          2.3754959927E+00          5.7355853244E-01          6.1276480989E-04          6.1987419514E+00          1.1789013632E+00          -1.4742686607E+00         1.2110905165E-01          -3.5680842012E-04         -1.8739666170E+01         
2018-07-24                02:00:32.170              204.08370567              4898.008936               1532397632.170            0                         963                       1.4798457336E+02          4.5000450134E+01          4.5000846863E+01          4.5011741638E+01          3.7500000000E+01          0.0000000000E+00          0.0000000000E+00          2.9074033203E+04          1.0000000000E+00          1.0500000000E+02          6.3642220282E+00          6.4566492751E+00          6.7816667939E-02          6.7816258702E-02          -6.5302371274E+01         -6.5302371274E+01         -6.3722604346E+01         -6.2317407462E+01         -6.3136666452E+01         6.3732053976E+00          6.4959145024E+00          -7.0957854101E+01         -6.8189443815E+01         -5.8038839264E+01         -6.4099031297E+01         1.0000000000E+00          1.1683204676E+00          7.3800132605E+02          7.5353603905E+02          8.3134676072E+00          -1.8206685523E+01         -1.8767927627E+01         -1.7468275025E+01         -1.7654964684E+01         4.4969044721E+02          1.3139743413E+01          8.6462920144E+00          1.4775206667E+01          1.4505846431E+03          7.1267548525E+01          7.1491827833E+01          0.0000000000E+00          2.6177919464E-01          2.3754959927E+00          5.7355853244E-01          6.1276480989E-04          6.1987419514E+00          1.1789013632E+00          -1.4742686607E+00         1.2110905165E-01          -3.5680842012E-04         -1.8739666170E+01         
2018-07-24                02:00:32.651              204.08371124              4898.009070               1532397632.651            0                         963                       1.4808055769E+02          4.5000450134E+01          4.5000846863E+01          4.5011741638E+01          3.7500000000E+01          0.0000000000E+00          0.0000000000E+00          2.9180003348E+04          1.0000000000E+00          1.0600000000E+02          6.3642220282E+00          6.4566492751E+00          6.7816667939E-02          6.7816258702E-02          -6.5302371274E+01         -6.5302371274E+01         -6.3722604346E+01         -6.2317407462E+01         -6.3136666452E+01         6.3732053976E+00          6.4959145024E+00          -7.0957854101E+01         -6.8189443815E+01         -5.8038839264E+01         -6.4099031297E+01         1.0000000000E+00          1.1683204676E+00          7.3800132605E+02          7.5353603905E+02          8.3128988883E+00          -1.8273849359E+01         -1.8736573668E+01         -1.7435992306E+01         -1.7657813903E+01         4.4969044721E+02          1.3159585206E+01          8.6462920144E+00          1.4775206667E+01          1.4505846431E+03          7.1267548525E+01          7.1491827833E+01          0.0000000000E+00          2.6177919464E-01          2.3754959927E+00          5.7355853244E-01          6.1276480989E-04          6.1987419514E+00          1.1789013632E+00          -1.4742686607E+00         1.2110905165E-01          -3.5680842012E-04         -1.8739666170E+01         
2018-07-24                02:00:33.993              204.08372677              4898.009443               1532397633.993            0                         963                       1.4809219157E+02          4.5000450134E+01          4.5000846863E+01          4.5011741638E+01          3.7500000000E+01          0.0000000000E+00          0.0000000000E+00          2.9336934102E+04          1.0000000000E+00          1.5000000000E+02          6.3321040867E+00          6.4241496905E+00          6.7454337732E-02          6.7464865805E-02          -6.5592920414E+01         -6.5592920414E+01         -6.3798369541E+01         -6.2376303118E+01         -6.3130425013E+01         6.3412353648E+00          6.4633471937E+00          -7.1114754341E+01         -6.8131197840E+01         -5.8279763119E+01         -6.4166105850E+01         1.0000000000E+00          1.1693502445E+00          7.3800132605E+02          7.5353603905E+02          8.3128988883E+00          -1.8273849359E+01         -1.8736573668E+01         -1.7435992306E+01         -1.7657813903E+01         4.4969044721E+02          1.3159585206E+01          8.6007804469E+00          1.4699778767E+01          1.4434167557E+03          7.1330364917E+01          7.1555156430E+01          0.0000000000E+00          2.5855572197E-01          2.4663210145E+00          7.0431202299E-01          6.3689333701E-04          6.1685050222E+00          1.1805984839E+00          -1.6711131432E+00         1.2063168597E-01          -2.3828922413E-03         -2.1115831462E+01         
2018-07-24                02:00:35.348              204.08374245              4898.009819               1532397635.348            0                         963                       1.4793915449E+02          4.5000389099E+01          4.5000816345E+01          4.5011772156E+01          3.7500000000E+01          0.0000000000E+00          0.0000000000E+00          2.9211364211E+04          1.0000000000E+00          1.0600000000E+02          6.3321040867E+00          6.4241496905E+00          6.7454337732E-02          6.7464865805E-02          -6.5592920414E+01         -6.5592920414E+01         -6.3798369541E+01         -6.2376303118E+01         -6.3130425013E+01         6.3412353648E+00          6.4633471937E+00          -7.1114754341E+01         -6.8131197840E+01         -5.8279763119E+01         -6.4166105850E+01         1.0000000000E+00          1.1693502445E+00          7.3800132605E+02          7.5353603905E+02          8.3128988883E+00          -1.8273849359E+01         -1.8736573668E+01         -1.7435992306E+01         -1.7657813903E+01         4.4969044721E+02          1.3136830391E+01          8.6007804469E+00          1.4699778767E+01          1.4434167557E+03          7.1330364917E+01          7.1555156430E+01          0.0000000000E+00          2.5855572197E-01          2.4663210145E+00          7.0431202299E-01          6.3689333701E-04          6.1685050222E+00          1.1805984839E+00          -1.6711131432E+00         1.2063168597E-01          -2.3828922413E-03         -2.1115831462E+01         
2018-07-24                02:00:35.834              204.08374808              4898.009954               1532397635.834            0                         963                       1.4793371105E+02          4.5000389099E+01          4.5000816345E+01          4.5011772156E+01          3.7500000000E+01          0.0000000000E+00          0.0000000000E+00          2.9180649780E+04          1.0000000000E+00          1.0500000000E+02          6.3321040867E+00          6.4241496905E+00          6.7454337732E-02          6.7464865805E-02          -6.5592920414E+01         -6.5592920414E+01         -6.3798369541E+01         -6.2376303118E+01         -6.3130425013E+01         6.3412353648E+00          6.4633471937E+00          -7.1114754341E+01         -6.8131197840E+01         -5.8279763119E+01         -6.4166105850E+01         1.0000000000E+00          1.1693502445E+00          7.3775767552E+02          7.5330154701E+02          8.3103120066E+00          -1.8273849359E+01         -1.8736573668E+01         -1.7435992306E+01         -1.7657813903E+01         4.4954203078E+02          1.3136830391E+01          8.6007804469E+00          1.4699778767E+01          1.4434167557E+03          7.1330364917E+01          7.1555156430E+01          0.0000000000E+00          2.5855572197E-01          2.4663210145E+00          7.0431202299E-01          6.3689333701E-04          6.1685050222E+00          1.1805984839E+00          -1.6711131432E+00         1.2063168597E-01          -2.3828922413E-03         -2.1115831462E+01         
2018-07-24                02:00:36.313              204.08375363              4898.010087               1532397636.314            0                         963                       1.4794084665E+02          4.5000389099E+01          4.5000816345E+01          4.5011772156E+01          3.7500000000E+01          0.0000000000E+00          0.0000000000E+00          2.9158008535E+04          1.0000000000E+00          1.0600000000E+02          6.3321040867E+00          6.4241496905E+00          6.7454337732E-02          6.7464865805E-02          -6.5592920414E+01         -6.5592920414E+01         -6.3798369541E+01         -6.2376303118E+01         -6.3130425013E+01         6.3412353648E+00          6.4633471937E+00          -7.1114754341E+01         -6.8131197840E+01         -5.8279763119E+01         -6.4166105850E+01         1.0000000000E+00          1.1693502445E+00          7.3775767552E+02          7.5330154701E+02          8.3080853852E+00          -1.8536887909E+01         -1.8698038879E+01         -1.7432620726E+01         -1.7677775665E+01         4.4954203078E+02          1.3146713964E+01          8.6007804469E+00          1.4699778767E+01          1.4434167557E+03          7.1330364917E+01          7.1555156430E+01          0.0000000000E+00          2.5855572197E-01          2.4663210145E+00          7.0431202299E-01          6.3689333701E-04          6.1685050222E+00          1.1805984839E+00          -1.6711131432E+00         1.2063168597E-01          -2.3828922413E-03         -2.1115831462E+01         
2018-07-24                02:00:37.647              204.08376906              4898.010458               1532397637.647            0                         963                       1.4794609989E+02          4.5000389099E+01          4.5000816345E+01          4.5011772156E+01          3.7500000000E+01          0.0000000000E+00          0.0000000000E+00          2.9099159310E+04          1.0000000000E+00          1.5000000000E+02          6.2936323807E+00          6.3852502410E+00          6.7101499737E-02          6.7131509993E-02          -6.4817881330E+01         -6.4817881330E+01         -6.4033927624E+01         -6.2377610756E+01         -6.3135449424E+01         6.3211835393E+00          6.4430230282E+00          -7.2788900599E+01         -6.8690070854E+01         -5.8554871641E+01         -6.4250322876E+01         1.0000000000E+00          1.1709569165E+00          7.3775767552E+02          7.5330154701E+02          8.3080853852E+00          -1.8536887909E+01         -1.8698038879E+01         -1.7432620726E+01         -1.7677775665E+01         4.4954203078E+02          1.3146713964E+01          8.5537888277E+00          1.4647040712E+01          1.4344609848E+03          7.1428371906E+01          7.1653521546E+01          0.0000000000E+00          2.5921155873E-01          2.4096346621E+00          6.3460933903E-01          6.1698792404E-04          6.1340501182E+00          1.1814448600E+00          -1.5423182813E+00         1.2170508409E-01          -1.1487512300E-03         -2.0758178549E+01         
