 Sample Id,Peak Number,                             Description,               Start Time,  End Time,     Max 12CO2 (ppm),      12CO2 Integral,      13CO2 Integral,           Delta 13C,      12CO2 Baseline,      13CO2 Baseline,           Threshold,Number of data points,Time interval (seconds)
        71,         1,                                        ,      2020/12/01 23:55:45,2020/12/02 00:10:58,             245.846,           63558.654,             703.928,             -14.616,               0.467,               0.003,               5.000,      1940,   912.135
        72,         1,                                        ,      2020/12/02 00:23:12,2020/12/02 00:37:51,             190.884,           49135.722,             546.745,              -9.989,               0.609,               0.003,               5.000,      1871,   879.053
        74,         1,                                        ,      2020/12/02 01:07:13,2020/12/02 01:20:41,             105.943,           27507.009,             341.771,             105.461,               0.453,               0.003,               5.000,      1721,   808.316
        75,         1,                                        ,      2020/12/02 01:33:05,2020/12/02 01:46:23,              91.726,           24103.463,             266.071,             -17.865,               0.558,               0.003,               5.000,      1698,   797.835
        76,         1,                                        ,      2020/12/02 01:58:48,2020/12/02 02:12:03,              94.675,           24729.586,             277.536,              -1.481,               0.580,               0.003,               5.000,      1691,   794.856
        77,         1,                                        ,      2020/12/02 02:24:28,2020/12/02 02:36:47,              58.491,           15356.134,             172.895,               1.739,               0.582,               0.003,               5.000,      1572,   738.927
        78,         1,                                        ,      2020/12/02 02:49:09,2020/12/02 03:02:05,              80.488,           20986.963,             237.120,               5.246,               0.500,               0.003,               5.000,      1652,   776.398
        79,         1,                                        ,      2020/12/02 03:14:22,2020/12/02 03:28:00,             113.290,           29404.369,             327.088,             -10.294,               0.496,               0.003,               5.000,      1741,   818.002
        80,         1,                                        ,      2020/12/02 03:40:08,2020/12/02 03:58:45,            1183.288,          306808.502,            3358.905,             -25.924,               0.481,               0.000,               5.000,      2375,  1117.214
        81,         1,                                        ,      2020/12/02 04:11:03,2020/12/02 04:24:33,              97.212,           25577.277,             288.713,               4.298,               1.384,               0.013,               5.000,      1723,   809.745
        82,         1,                                        ,      2020/12/02 04:37:07,2020/12/02 04:48:14,              32.375,            8606.214,              95.231,             -15.499,               0.866,               0.003,               5.000,      1421,   667.434
        83,         1,                                        ,      2020/12/02 05:00:56,2020/12/02 05:11:29,              25.609,            6786.171,              85.927,             126.561,               0.688,               0.006,               5.000,      1346,   632.987
        84,         1,                                        ,      2020/12/02 05:24:04,2020/12/02 05:34:32,              24.941,            6585.224,              84.189,             137.457,               0.569,               0.001,               5.000,      1337,   627.802
        85,         1,                                        ,      2020/12/02 05:47:05,2020/12/02 05:58:52,              47.074,           12261.506,             145.302,              54.328,               0.532,               0.005,               5.000,      1505,   707.055
        86,         1,                                        ,      2020/12/02 06:11:24,2020/12/02 06:23:26,              52.372,           13628.111,             150.004,             -20.698,               0.473,               0.002,               5.000,      1536,   722.237
        87,         1,                                        ,      2020/12/02 06:35:39,2020/12/02 06:50:12,             186.773,           48089.121,             534.772,             -10.593,               0.433,               0.001,               5.000,      1856,   872.439
