 Sample Id,Peak Number,                             Description,               Start Time,  End Time,     Max 12CO2 (ppm),      12CO2 Integral,      13CO2 Integral,           Delta 13C,      12CO2 Baseline,      13CO2 Baseline,           Threshold,Number of data points,Time interval (seconds)
         1,         1,                                        ,      2020/11/30 19:58:04,2020/11/30 20:04:31,               6.309,            1695.758,              18.798,             -14.040,               2.171,               0.020,               5.000,       825,   387.612
         2,         1,                                        ,      2020/11/30 20:21:51,2020/11/30 20:25:52,               5.119,            1036.692,              11.477,             -15.240,               1.201,               0.013,               5.000,       513,   240.769
         3,         1,                                        ,      2020/11/30 20:39:51,2020/11/30 20:45:48,               5.759,            1481.970,              16.584,              -4.585,               2.117,               0.019,               5.000,       762,   357.787
         4,         1,                                        ,      2020/11/30 20:58:50,2020/11/30 21:06:13,               7.716,            2079.380,              23.033,             -14.690,               1.188,               0.012,               5.000,       943,   442.909
         5,         1,                                        ,      2020/11/30 21:18:46,2020/11/30 21:29:06,              22.827,            6115.887,              66.965,             -25.997,               0.902,               0.007,               5.000,      1319,   620.310
         6,         1,                                        ,      2020/11/30 21:41:28,2020/11/30 21:53:07,              41.483,           10965.011,             120.058,             -25.987,               0.814,               0.006,               5.000,      1486,   698.669
         7,         1,                                        ,      2020/11/30 22:05:13,2020/11/30 22:20:01,             191.373,           49734.601,             542.634,             -29.405,               0.759,               0.005,               5.000,      1890,   888.431
         8,         1,                                        ,      2020/11/30 22:32:00,2020/11/30 22:48:13,             379.849,           98484.967,            1074.793,             -29.148,               0.750,               0.007,               5.000,      2069,   972.989
        10,         1,                                        ,      2020/11/30 23:17:53,2020/11/30 23:27:11,              15.086,            4034.230,              44.652,             -15.362,               0.822,               0.006,               5.000,      1187,   557.890
        11,         1,                                        ,      2020/11/30 23:39:26,2020/11/30 23:51:44,              58.679,           15359.889,             168.224,             -25.669,               0.679,               0.003,               5.000,      1571,   738.627
        12,         1,                                        ,      2020/12/01 00:03:44,2020/12/01 00:19:16,             277.751,           71898.939,             787.240,             -25.914,               0.688,               0.004,               5.000,      1982,   931.858
        14,         1,                                        ,      2020/12/01 00:48:46,2020/12/01 01:00:33,              38.166,           10547.311,             278.474,            1348.774,               0.677,               0.007,               5.000,      1505,   707.402
        15,         1,                                        ,      2020/12/01 01:12:53,2020/12/01 01:25:03,              51.265,           13581.776,             158.922,              40.980,               0.742,               0.006,               5.000,      1555,   730.857
        16,         1,                                        ,      2020/12/01 01:37:24,2020/12/01 01:48:49,              36.309,            9728.363,             110.620,              11.605,               0.737,               0.005,               5.000,      1458,   685.099
        17,         1,                                        ,      2020/12/01 02:01:04,2020/12/01 02:14:03,              79.850,           20907.777,             241.322,              26.863,               0.631,               0.003,               5.000,      1657,   779.204
        18,         1,                                        ,      2020/12/01 02:26:20,2020/12/01 02:39:16,              80.260,           20997.452,             237.937,               8.146,               0.669,               0.005,               5.000,      1651,   776.485
        19,         1,                                        ,      2020/12/01 02:51:50,2020/12/01 03:02:25,              25.619,            6794.572,              87.880,             150.685,               0.665,               0.006,               5.000,      1352,   635.253
        20,         1,                                        ,      2020/12/01 03:14:37,2020/12/01 03:27:39,              82.478,           21549.269,             256.577,              59.303,               0.531,               0.003,               5.000,      1660,   781.657
        21,         1,                                        ,      2020/12/01 03:40:06,2020/12/01 03:51:09,              32.057,            8525.135,             111.858,             167.347,               0.604,               0.003,               5.000,      1410,   663.685
        22,         1,                                        ,      2020/12/01 04:03:36,2020/12/01 04:14:23,              27.944,            7411.938,              84.183,              10.488,               0.532,               0.005,               5.000,      1375,   646.782
        23,         1,                                        ,      2020/12/01 04:26:54,2020/12/01 04:37:41,              28.601,            7575.330,              91.739,              77.430,               0.557,               0.005,               5.000,      1374,   646.378
        24,         1,                                        ,      2020/12/01 04:50:02,2020/12/01 05:02:58,              78.840,           20586.655,             231.973,               2.511,               0.504,               0.002,               5.000,      1649,   775.482
        25,         1,                                        ,      2020/12/01 05:15:15,2020/12/01 05:28:14,              83.244,           21750.741,             258.594,              57.748,               0.544,               0.004,               5.000,      1655,   779.515
        26,         1,                                        ,      2020/12/01 05:40:30,2020/12/01 05:53:29,              82.420,           21528.483,             372.121,             537.823,               0.559,               0.004,               5.000,      1656,   779.108
        27,         1,                                        ,      2020/12/01 06:05:38,2020/12/01 06:20:18,             191.379,           49452.930,             550.297,              -9.985,               0.523,               0.004,               5.000,      1872,   880.212
        29,         1,                                        ,      2020/12/01 06:49:36,2020/12/01 07:02:41,              86.679,           22588.944,             326.529,             286.060,               0.482,               0.003,               5.000,      1668,   784.456
        30,         1,                                        ,      2020/12/01 07:14:57,2020/12/01 07:28:08,              90.007,           23481.986,             266.081,               8.123,               0.557,               0.004,               5.000,      1685,   791.527
        31,         1,                                        ,      2020/12/01 07:40:31,2020/12/01 07:53:35,              86.233,           22477.666,             248.828,             -15.117,               0.574,               0.004,               5.000,      1668,   784.356
        32,         1,                                        ,      2020/12/01 08:05:52,2020/12/01 08:18:51,              81.559,           21290.001,             302.638,             264.691,               0.531,               0.003,               5.000,      1657,   778.538
        33,         1,                                        ,      2020/12/01 08:31:10,2020/12/01 08:44:09,              82.006,           21441.742,             355.323,             474.349,               0.567,               0.004,               5.000,      1658,   779.405
        34,         1,                                        ,      2020/12/01 08:56:26,2020/12/01 09:09:32,              85.019,           22206.949,             248.516,              -4.355,               0.566,               0.003,               5.000,      1673,   786.241
        35,         1,                                        ,      2020/12/01 09:21:54,2020/12/01 09:34:56,              82.678,           21568.199,             274.405,             131.923,               0.510,               0.003,               5.000,      1663,   781.654
        36,         1,                                        ,      2020/12/01 09:47:18,2020/12/01 10:00:15,              81.709,           21321.303,             246.994,              30.652,               0.510,               0.003,               5.000,      1651,   776.687
        37,         1,                                        ,      2020/12/01 10:12:49,2020/12/01 10:25:25,              28.026,            9576.108,             914.362,            7492.395,               0.631,               0.006,               5.000,      1608,   756.211
        38,         1,                                        ,      2020/12/01 10:37:48,2020/12/01 10:49:46,              47.845,           12707.111,             176.605,             236.490,               0.767,               0.014,               5.000,      1525,   717.236
        39,         1,                                        ,      2020/12/01 11:02:16,2020/12/01 11:13:14,              30.183,            8047.236,             108.454,             199.052,               0.600,               0.003,               5.000,      1399,   658.455
        40,         1,                                        ,      2020/12/01 11:25:43,2020/12/01 11:37:00,              34.974,            9307.339,             118.758,             135.213,               0.532,               0.003,               5.000,      1441,   677.733
        41,         1,                                        ,      2020/12/01 11:49:26,2020/12/01 12:01:29,              51.474,           13521.428,             193.635,             274.090,               0.499,               0.002,               5.000,      1539,   723.557
        42,         1,                                        ,      2020/12/01 12:13:36,2020/12/01 12:28:13,             191.965,           49454.910,             556.626,               1.373,               0.496,               0.005,               5.000,      1863,   876.793
        44,         1,                                        ,      2020/12/01 12:57:40,2020/12/01 13:09:26,              45.280,           11868.294,             138.924,              41.434,               0.480,               0.002,               5.000,      1501,   706.140
        45,         1,                                        ,      2020/12/01 13:21:50,2020/12/01 13:34:01,              57.091,           14849.686,             166.035,              -5.227,               0.485,               0.003,               5.000,      1555,   730.961
        46,         1,                                        ,      2020/12/01 13:46:35,2020/12/01 13:57:12,              27.443,            7203.506,              87.515,              80.892,               0.495,               0.004,               5.000,      1356,   637.521
        47,         1,                                        ,      2020/12/01 14:09:46,2020/12/01 14:20:25,              27.677,            7259.597,              93.160,             141.717,               0.475,               0.005,               5.000,      1361,   639.771
        48,         1,                                        ,      2020/12/01 14:32:58,2020/12/01 14:43:27,              25.974,            6801.870,              88.262,             154.483,               0.447,               0.002,               5.000,      1337,   628.527
        49,         1,                                        ,      2020/12/01 14:56:03,2020/12/01 15:06:34,              25.815,            6771.715,              88.563,             163.576,               0.439,               0.003,               5.000,      1342,   631.119
        50,         1,                                        ,      2020/12/01 15:19:11,2020/12/01 15:29:37,              25.141,            6589.999,              76.904,              38.260,               0.441,               0.003,               5.000,      1330,   625.305
        51,         1,                                        ,      2020/12/01 15:41:58,2020/12/01 15:54:41,              72.454,           18826.198,             211.726,               0.589,               0.413,               0.002,               5.000,      1621,   762.955
        52,         1,                                        ,      2020/12/01 16:07:02,2020/12/01 16:20:04,              84.409,           21962.648,             254.683,              31.718,               0.449,               0.002,               5.000,      1661,   781.810
        53,         1,                                        ,      2020/12/01 16:32:33,2020/12/01 16:43:50,              37.566,            9833.208,             121.553,              99.799,               0.544,               0.002,               5.000,      1439,   677.251
        54,         1,                                        ,      2020/12/01 16:56:14,2020/12/01 17:08:25,              57.757,           15028.563,             179.769,              64.241,               0.491,               0.004,               5.000,      1554,   730.738
        55,         1,                                        ,      2020/12/01 17:21:00,2020/12/01 17:31:40,              27.854,            7290.655,              81.443,              -6.119,               0.522,               0.004,               5.000,      1361,   640.182
        56,         1,                                        ,      2020/12/01 17:43:59,2020/12/01 17:57:36,             114.689,           29753.453,             337.979,              10.649,               0.445,               0.003,               5.000,      1738,   816.708
        57,         1,                                        ,      2020/12/01 18:09:50,2020/12/01 18:24:29,             191.641,           49332.609,             549.361,              -9.230,               0.453,               0.004,               5.000,      1867,   878.461
        59,         1,                                        ,      2020/12/01 18:53:57,2020/12/01 19:05:26,              40.376,           10558.822,             125.278,              55.622,               0.466,               0.002,               5.000,      1466,   689.421
        60,         1,                                        ,      2020/12/01 19:17:55,2020/12/01 19:30:22,              63.976,           16650.684,             187.269,               0.651,               0.465,               0.005,               5.000,      1589,   747.057
        61,         1,                                        ,      2020/12/01 19:42:24,2020/12/01 20:01:17,            1329.904,          345787.502,            3783.217,             -26.558,               0.402,               0.002,               5.000,      2410,  1133.706
        62,         1,                                        ,      2020/12/01 20:13:38,2020/12/01 20:26:29,              67.448,           17905.739,             205.575,              21.473,               1.458,               0.013,               5.000,      1639,   771.301
        63,         1,                                        ,      2020/12/01 20:38:57,2020/12/01 20:50:45,              44.555,           11743.345,             135.081,              23.416,               0.782,               0.006,               5.000,      1505,   707.366
        64,         1,                                        ,      2020/12/01 21:02:59,2020/12/01 21:16:27,             104.560,           27195.100,             310.774,              16.724,               0.577,               0.005,               5.000,      1719,   808.366
        65,         1,                                        ,      2020/12/01 21:28:47,2020/12/01 21:42:09,              97.962,           25442.572,             283.160,              -9.802,               0.584,               0.004,               5.000,      1705,   801.783
        66,         1,                                        ,      2020/12/01 21:54:37,2020/12/01 22:06:59,              61.285,           15994.897,             178.257,              -8.446,               0.588,               0.004,               5.000,      1579,   742.511
        67,         1,                                        ,      2020/12/01 22:19:33,2020/12/01 22:30:22,              29.767,            7802.741,              86.779,             -10.499,               0.596,               0.005,               5.000,      1379,   648.469
        68,         1,                                        ,      2020/12/01 22:42:45,2020/12/01 22:55:22,              68.883,           17969.456,             207.247,              26.132,               0.473,               0.002,               5.000,      1609,   756.504
        69,         1,                                        ,      2020/12/01 23:07:50,2020/12/01 23:20:34,              76.116,           19773.785,             223.183,               4.202,               0.544,               0.002,               5.000,      1627,   764.420
        70,         1,                                        ,      2020/12/01 23:33:10,2020/12/01 23:43:33,              24.560,            6470.286,              73.024,               4.135,               0.603,               0.005,               5.000,      1325,   622.930
