Date,Time,Vial#,Spl#,#Reps,Sample ID,Type,Mode,Area(cts),Mass(ugC),Conc (PPM as mg/L C),Method,InstrumentID,UserID,Comments
19-Jan-21,4:07:47 AM,-,1,1,Clean Up,CleanUp,TC,3435.107,0,0,DefaultCleanUpMethod,N221730082,toc,
19-Jan-21,4:07:47 AM,-,1,Avg,Clean Up,CleanUp,TC,3435.107,0,0,DefaultCleanUpMethod,N221730082,toc,
19-Jan-21,4:07:47 AM,-,1,StDev,Clean Up,CleanUp,TC,0,0,0,DefaultCleanUpMethod,N221730082,toc,
19-Jan-21,4:07:47 AM,-,1,%RSD,Clean Up,CleanUp,TC,0,0,0,DefaultCleanUpMethod,N221730082,toc,
19-Jan-21,4:31:04 AM,1,2,1,DI Blank,Sample,TOC,2741.154,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,4:31:04 AM,1,2,Avg,DI Blank,Sample,TOC,2741.154,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,4:31:04 AM,1,2,StDev,DI Blank,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,4:31:04 AM,1,2,%RSD,DI Blank,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,4:49:30 AM,2,3,1,TOC CAL BLANK,Sample,TOC,2934.634,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,4:49:30 AM,2,3,Avg,TOC CAL BLANK,Sample,TOC,2934.634,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,4:49:30 AM,2,3,StDev,TOC CAL BLANK,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,4:49:30 AM,2,3,%RSD,TOC CAL BLANK,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,5:07:40 AM,3,4,1,TOC CAL#1,Sample,TOC,6009.457,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,5:07:40 AM,3,4,Avg,TOC CAL#1,Sample,TOC,6009.457,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,5:07:40 AM,3,4,StDev,TOC CAL#1,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,5:07:40 AM,3,4,%RSD,TOC CAL#1,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,5:28:29 AM,4,5,1,TOC CAL#2,Sample,TOC,17287.45,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,5:28:29 AM,4,5,Avg,TOC CAL#2,Sample,TOC,17287.45,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,5:28:29 AM,4,5,StDev,TOC CAL#2,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,5:28:29 AM,4,5,%RSD,TOC CAL#2,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,5:51:25 AM,5,6,1,TOC CAL#3,Sample,TOC,31615.536,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,5:51:25 AM,5,6,Avg,TOC CAL#3,Sample,TOC,31615.536,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,5:51:25 AM,5,6,StDev,TOC CAL#3,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,5:51:25 AM,5,6,%RSD,TOC CAL#3,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,6:15:25 AM,6,7,1,TOC CAL#4,Sample,TOC,149467.481,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,6:15:25 AM,6,7,Avg,TOC CAL#4,Sample,TOC,149467.481,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,6:15:25 AM,6,7,StDev,TOC CAL#4,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,6:15:25 AM,6,7,%RSD,TOC CAL#4,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,6:42:17 AM,7,8,1,TOC CAL#5,Sample,TOC,294391.316,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,6:42:17 AM,7,8,Avg,TOC CAL#5,Sample,TOC,294391.316,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,6:42:17 AM,7,8,StDev,TOC CAL#5,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,6:42:17 AM,7,8,%RSD,TOC CAL#5,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,7:10:10 AM,8,9,1,DI Blank,Sample,TOC,2340.418,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,7:10:10 AM,8,9,Avg,DI Blank,Sample,TOC,2340.418,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,7:10:10 AM,8,9,StDev,DI Blank,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,7:10:10 AM,8,9,%RSD,DI Blank,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,7:27:24 AM,9,10,1,MDL,Sample,TOC,11694.432,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,7:27:24 AM,9,10,Avg,MDL,Sample,TOC,11694.432,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,7:27:24 AM,9,10,StDev,MDL,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,7:27:24 AM,9,10,%RSD,MDL,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,7:50:02 AM,10,11,1,RMV,Sample,TOC,37794.79,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,7:50:02 AM,10,11,Avg,RMV,Sample,TOC,37794.79,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,7:50:02 AM,10,11,StDev,RMV,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,7:50:02 AM,10,11,%RSD,RMV,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,8:13:50 AM,11,12,1,LCS-01,Sample,TOC,43876.213,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,8:13:50 AM,11,12,Avg,LCS-01,Sample,TOC,43876.213,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,8:13:50 AM,11,12,StDev,LCS-01,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,8:13:50 AM,11,12,%RSD,LCS-01,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,8:38:24 AM,12,13,1,LCS-02,Sample,TOC,220284.531,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,8:38:24 AM,12,13,Avg,LCS-02,Sample,TOC,220284.531,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,8:38:24 AM,12,13,StDev,LCS-02,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,8:38:24 AM,12,13,%RSD,LCS-02,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,9:05:49 AM,13,14,1,DI Blank,Sample,TOC,2320.369,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,9:05:49 AM,13,14,Avg,DI Blank,Sample,TOC,2320.369,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,9:05:49 AM,13,14,StDev,DI Blank,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,9:05:49 AM,13,14,%RSD,DI Blank,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,9:23:09 AM,14,15,1,WW015,Sample,TOC,18455.81,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,9:23:09 AM,14,15,Avg,WW015,Sample,TOC,18455.81,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
19-Jan-21,9:23:09 AM,14,15,StDev,WW015,Sample,TOC,0,0,0,"Caddy_DOC - Feb 04, 2020; 11-47-40 AM",N221730082,toc,
