SampleID,DOC
WW015,0.53
A023,4.95
WW011,0.61
WW012A,0.57
WW025,0.51
WW014,0.67
WW003,0.46
WW016,0.51
WW026,0.46
WW038,0.60
WW039,0.50
WW002,0.59
WW040,0.55
WW006,0.67
WW031,0.42
WW005,0.57
WW037,0.39
WW001,0.50
WW036,0.45
WW010,0.56
WW027,0.45
WW007,0.63
WW023,0.53
WW018,0.50
WW004,0.55
WW021,0.52
WW013,1.85
WW012B,0.88
SP001,36.9
SP003,32.6
