"","dtime","bela_co2_flux","C.mod.flux","NEP_gC","DIC_pred","DIC_sat","oxy","oxysat","bela_co2_conc","bela_co2_sat"
"1",2019-08-10 04:00:00,4.75924927867568,4.56632763912145,-4.20023365408643,5.45246237439871,5.12123856933806,5.721,9.3732892719521,2.05348224502918,0.0144111390254962
"2",2019-08-10 04:10:00,4.76840286025716,4.56251341265284,-4.20023365408643,5.45298505662633,5.1215045510691,5.727,9.38060366074849,2.05908612037106,0.0144282386823784
"3",2019-08-10 04:20:00,4.74308821217187,4.5288590999997,-4.20023365408643,5.45224960959577,5.12177038896,5.73,9.38625307687637,2.05105515014758,0.0144453693491119
"4",2019-08-10 04:30:00,4.7247861472603,4.4948422351672,-4.20023365408643,5.4516746775753,5.12190325395893,5.755,9.40638861252997,2.04479809643431,0.0144539463322577
"5",2019-08-10 04:40:00,4.71300658210489,4.46543312040388,-4.20023365408643,5.45143172528831,5.12216887605103,5.738,9.40828022762367,2.04210685678541,0.0144711236403705
"6",2019-08-10 04:50:00,4.71271006374436,4.43677550479688,-4.20023365408643,5.45151497135577,5.1223016331392,5.76,9.41732721731989,2.04297744943988,0.014479723982275
"7",2019-08-10 05:00:00,4.70754817673432,4.41134872708866,-4.20023365408643,5.45151408574845,5.12256703938749,5.761,9.42111888868224,2.04290681110007,0.0144969480842042
"8",2019-08-10 05:10:00,4.70388556364858,4.36526116950737,-4.20023365408643,5.45161528365631,5.12289859480792,5.776,9.44138670976888,2.04392619497817,0.0145185222082986
"9",2019-08-10 05:20:00,4.69385176548894,4.29824694285832,-4.20023365408643,5.45129395830479,5.12296487890372,5.792,9.44138670976888,2.04043245119371,0.0145228429099934
"10",2019-08-10 05:30:00,4.71528477987701,4.20532278350379,-4.20023365408643,5.45203365466938,5.12289859480792,5.793,9.44329076200667,2.04845695465581,0.0145185222082986
"11",2019-08-10 05:40:00,4.69621805365864,4.08774103066683,-4.20023365408643,5.45147510508115,5.12309742010471,5.803,9.44900698512066,2.0423628350476,0.0145314901987964
"12",2019-08-10 05:50:00,4.68888592787482,3.95411244222237,-4.20023365408643,5.45139413546311,5.12336239453626,5.809,9.45260922085541,2.04142535836038,0.0145488083479932
"13",2019-08-10 06:00:00,4.6810795031371,3.80778124802006,-4.20023365408643,5.45115409045053,5.12342861564867,5.836,9.44900698512066,2.03881189521686,0.0145531428022855
"14",2019-08-10 06:10:00,4.67574703248015,3.64254861361642,-4.20023365408643,5.45105202908429,5.12356103087694,5.847,9.45812321019488,2.03767688828743,0.0145618176187665
"15",2019-08-10 06:20:00,4.66428509242895,3.46604674351391,-4.20023365408643,5.45067698399498,5.12362722499226,5.861,9.46194391185304,2.03360381763605,0.014566157983102
