"","code","MinFrom0","SpC_corr","DOC_conc","Delta.13C","AF_corr","doc_13C","delCO2","co2AF_corr","DIC13","removed_c"
"1","b_g1_up",6,0.25,1.97,-25.398,-1.06504238614642e-05,-2.09813350070845e-05,-21.41858750624,-2.34722734581382e-06,-0.000159282847686926,0.000378124192149942
"2","b_g1_up",7,0.25,2.11,-23.619,8.90938349430194e-06,1.87987991729771e-05,-21.2079601911458,-3.15797449492589e-08,-2.14300149225671e-06,0.00033834405796988
"3","b_g1_up",10,2.25,2.01,-24.271,1.74084238157256e-06,3.49909318696084e-06,-21.62735688254,-4.64245937082351e-06,-0.000315037292904084,0.00321078662109875
"4","b_g1_up",35,-2.75,4.28,-2.162,0.000244764592088633,0.00104759245413935,-20.5664464006806,7.02118926147223e-06,0.000476457903283506,-0.00497616388271078
"5","b_g1_up",40,6.25,2.94,125.455,0.00164520932201069,0.00483691540671143,-16.9005094309792,4.73223787611048e-05,0.00321129662272857,0.00409165602186
"6","b_g1_up",44,26.25,2.02,1009.793,0.0112418481529973,0.0227085332690546,-16.0199311108125,5.70024580337607e-05,0.003868186802171,0.0147914667309454
"7","b_g1_up",47,44.25,1.99,2043.874,0.0222295537024864,0.0442368118679479,-14.7286467077292,7.11970315038155e-05,0.00483143055784892,0.0189774738463378
"8","b_g1_up",50,74.25,2.58,2547.392,0.0274908240040153,0.0709263259303595,-10.6836908021042,0.000115658978509372,0.00784861828164598,0.035145102641069
"9","b_g1_up",53,98.25,2.03,4351.666,0.0458825413161635,0.0931415588718119,-9.33685613400725,0.000130462428722089,0.00885318041308094,0.047215583985331
"10","b_g1_up",56,123.25,2.32,4420.777,0.0465730396990958,0.108049452101902,-6.88979995036042,0.000157357598500796,0.010678286634264,0.0680219764695264
"11","b_g1_up",59,125.25,6.23,1789.344,0.01954799756984,0.121784024860103,-7.95960868549783,0.000145599696346314,0.00988039539406085,0.0571445465684685
