time,white_co2,bela_co2,white_temp,bela_temp
8/10/19 3:40:00,3766.91,3863.94,17.6,19.3
8/10/19 3:50:00,3768.85,3856.49,17.52,19.25
8/10/19 4:00:00,3759.42,3849.21,17.47,19.2
8/10/19 4:10:00,3767.16,3855.14,17.44,19.16
8/10/19 4:20:00,3756.04,3835.55,17.4,19.12
8/10/19 4:30:00,3750.32,3821.58,17.35,19.1
8/10/19 4:40:00,3746.87,3812.02,17.32,19.06
8/10/19 4:50:00,3744.13,3811.38,17.27,19.04
8/10/19 5:00:00,3727.87,3806.72,17.23,19
8/10/19 5:10:00,3733.04,3802.96,17.21,18.95
8/10/19 5:20:00,3715.79,3795.33,17.22,18.94
8/10/19 5:30:00,3726.49,3811.39,17.2,18.95
8/10/19 5:40:00,3717.43,3796.66,17.15,18.92
8/10/19 5:50:00,3711.01,3790.4,17.13,18.88
8/10/19 6:00:00,3705.46,3784.42,17.15,18.87
8/10/19 6:10:00,3707.61,3780.06,17.13,18.85
8/10/19 6:20:00,3701.64,3771.38,17.13,18.84
8/10/19 6:30:00,3695.2,3771.94,17.12,18.82
8/10/19 6:40:00,3694.5,3766.52,17.11,18.8
8/10/19 6:50:00,3700.45,3738.5,17.11,18.79
8/10/19 7:00:00,3684.68,3725.87,17.1,18.77
8/10/19 7:10:00,3682.53,3705.43,17.12,18.77
8/10/19 7:20:00,3680.79,3685.17,17.13,18.8
8/10/19 7:30:00,3655.01,3659.43,17.15,18.8
8/10/19 7:40:00,3638.7,3635.62,17.13,18.81
8/10/19 7:50:00,3609.71,3579.09,17.17,18.81
8/10/19 8:00:00,3569.54,3516.74,17.2,18.83
8/10/19 8:10:00,3507.82,3447.86,17.22,18.87
8/10/19 8:20:00,3442.31,3347.18,17.27,18.91
8/10/19 8:30:00,3372.13,3246.55,17.32,18.95
8/10/19 8:40:00,3311.03,3136.9,17.37,18.98
8/10/19 8:50:00,3211.73,3007.1,17.44,19.05
8/10/19 9:00:00,3115.28,2870.09,17.51,19.14
8/10/19 9:10:00,3036.95,2774.85,17.59,19.21
8/10/19 9:20:00,2960.09,2671.82,17.66,19.29
8/10/19 9:30:00,2877.59,2589.13,17.73,19.35
8/10/19 9:40:00,2791.86,2519.49,17.82,19.4
8/10/19 9:50:00,2723.97,2433.65,17.89,19.48
8/10/19 10:00:00,2648.17,2360.24,17.97,19.57
8/10/19 10:10:00,2587.29,2290.8,18.08,19.66
8/10/19 10:20:00,2518.16,2220.86,18.21,19.76
