"","K","q","velocity","z","code","vf","sw"
"1",0.021899005420922,103.270223752151,0.533854166666667,0.142237323962791,"b_g1_up",2.39454549504867,45.6641742754498
"2",0.0361472165379254,171.271281476195,0.455223880597015,0.268739481473187,"b_g1_down",6.36786524391222,27.6646473996361
"3",0.0280674126381477,92.6075383071044,0.554054054054054,0.122900965472126,"b_g2_up",2.75215128466083,35.6285067274372
"4",0.0375454763123954,116.584776423967,0.420689655172414,0.197948390883785,"b_g2_down",4.50229470337232,26.6343671253375
"5",0.0160157490817099,100.29248203157,0.5125,0.143891652842999,"b_l_up",1.70074506388186,62.4385406450957
"6",0.00473350808261067,169.275041183994,0.406666666666667,0.297321500908655,"b_l_down",0.824158054932367,211.259806162298
