 Sample Id,Peak Number,                             Description,               Start Time,  End Time,     Max 12CO2 (ppm),      12CO2 Integral,      13CO2 Integral,           Delta 13C,      12CO2 Baseline,      13CO2 Baseline,           Threshold,Number of data points,Time interval (seconds)
         1,         1,                                        ,      2021/03/16 21:32:25,2021/03/16 21:40:24,               8.583,            2470.279,              31.957,             150.931,               1.548,               0.016,               5.000,      1020,   478.584
         2,         1,                                        ,      2021/03/16 21:56:12,2021/03/16 22:02:01,               5.529,            1472.716,              17.356,              48.482,               1.010,               0.014,               5.000,       744,   348.780
         3,         1,                                        ,      2021/03/16 22:15:26,2021/03/16 22:21:37,               5.865,            1577.978,              18.277,              30.451,               1.949,               0.023,               5.000,       792,   371.272
         4,         1,                                        ,      2021/03/16 22:34:31,2021/03/16 22:42:31,               8.898,            2497.370,              28.732,              23.562,               1.112,               0.013,               5.000,      1025,   480.411
         5,         1,                                        ,      2021/03/16 22:54:59,2021/03/16 23:05:29,              23.842,            6441.551,              72.483,               1.099,               0.936,               0.008,               5.000,      1343,   630.446
         6,         1,                                        ,      2021/03/16 23:17:47,2021/03/16 23:29:29,              41.897,           11089.226,             122.625,             -16.177,               0.843,               0.006,               5.000,      1496,   701.731
         7,         1,                                        ,      2021/03/16 23:41:34,2021/03/16 23:56:20,             190.960,           49498.368,             541.855,             -26.048,               0.789,               0.007,               5.000,      1887,   886.288
         8,         1,                                        ,      2021/03/17 00:08:19,2021/03/17 00:24:29,             376.558,           97359.278,            1063.771,             -27.884,               0.844,               0.007,               5.000,      2066,   970.044
        10,         1,                                        ,      2021/03/17 00:54:05,2021/03/17 01:03:37,              16.122,            4361.883,              49.007,              -0.395,               0.856,               0.007,               5.000,      1219,   572.341
        11,         1,                                        ,      2021/03/17 01:15:48,2021/03/17 01:28:20,              61.924,           16452.401,             181.525,             -18.351,               0.745,               0.003,               5.000,      1602,   752.147
        12,         1,                                        ,      2021/03/17 01:40:36,2021/03/17 01:52:54,              57.513,           15118.161,             167.021,             -17.074,               0.762,               0.005,               5.000,      1572,   738.206
        13,         1,                                        ,      2021/03/17 02:04:55,2021/03/17 02:20:27,             281.062,           72784.449,             798.512,             -23.899,               0.672,               0.005,               5.000,      1983,   931.361
        15,         1,                                        ,      2021/03/17 02:49:40,2021/03/17 03:03:58,             150.855,           39529.746,             434.550,             -21.935,               0.641,               0.004,               5.000,      1825,   857.382
        16,         1,                                        ,      2021/03/17 03:15:59,2021/03/17 03:31:47,             310.184,           81221.640,             894.364,             -20.293,               0.712,               0.006,               5.000,      2018,   947.818
        17,         1,                                        ,      2021/03/17 03:44:06,2021/03/17 03:57:28,              92.602,           24526.255,             271.917,             -13.590,               0.957,               0.010,               5.000,      1709,   802.621
        18,         1,                                        ,      2021/03/17 04:09:40,2021/03/17 04:23:53,             144.875,           37963.178,             427.708,               2.390,               0.741,               0.008,               5.000,      1818,   853.440
        19,         1,                                        ,      2021/03/17 04:35:49,2021/03/17 04:56:17,            2055.856,          545216.076,            5971.361,             -26.613,               0.671,               0.005,               5.000,      2612,  1227.792
        20,         1,                                        ,      2021/03/17 05:08:16,2021/03/17 05:22:42,             129.166,           34442.486,             391.796,              12.090,               1.758,               0.019,               5.000,      1842,   865.202
        21,         1,                                        ,      2021/03/17 05:34:52,2021/03/17 05:49:02,             133.643,           35200.939,             386.712,             -22.565,               1.055,               0.009,               5.000,      1807,   849.653
        22,         1,                                        ,      2021/03/17 06:01:06,2021/03/17 06:16:16,             220.174,           57560.691,             633.867,             -20.224,               0.781,               0.011,               5.000,      1935,   909.191
        23,         1,                                        ,      2021/03/17 06:28:14,2021/03/17 06:47:45,            1570.502,          413696.137,            4529.234,             -26.473,               0.801,               0.009,               5.000,      2491,  1170.752
        24,         1,                                        ,      2021/03/17 06:59:43,2021/03/17 07:13:35,             104.906,           27964.445,             309.463,             -15.410,               1.742,               0.018,               5.000,      1772,   831.374
        25,         1,                                        ,      2021/03/17 07:25:29,2021/03/17 07:45:06,            1566.359,          412830.505,            4521.930,             -26.022,               0.905,               0.009,               5.000,      2503,  1176.837
        26,         1,                                        ,      2021/03/17 07:57:11,2021/03/17 08:11:08,             104.023,           27816.585,             308.081,             -14.588,               1.771,               0.019,               5.000,      1781,   836.674
        27,         1,                                        ,      2021/03/17 08:23:14,2021/03/17 08:38:06,             188.127,           49356.135,             541.766,             -23.376,               1.021,               0.009,               5.000,      1900,   891.810
        28,         1,                                        ,      2021/03/17 08:50:15,2021/03/17 09:05:05,             191.357,           49808.425,             554.130,             -10.152,               0.884,               0.009,               5.000,      1896,   889.855
        29,         1,                                        ,      2021/03/17 09:18:57,2021/03/17 09:22:58,               5.422,            1113.701,              12.789,              21.718,               1.383,               0.018,               5.000,       516,   241.951
        30,         1,                                        ,      2021/03/17 09:35:16,2021/03/17 09:48:28,              85.308,           22540.203,             250.070,             -12.902,               0.722,               0.005,               5.000,      1687,   791.865
        31,         1,                                        ,      2021/03/17 10:00:26,2021/03/17 10:20:42,            1972.739,          522773.571,            5723.693,             -26.793,               0.626,               0.007,               5.000,      2589,  1215.786
        32,         1,                                        ,      2021/03/17 10:32:35,2021/03/17 10:53:14,            2040.003,          541836.234,            5934.326,             -26.554,               1.616,               0.019,               5.000,      2638,  1238.997
        33,         1,                                        ,      2021/03/17 11:05:10,2021/03/17 11:20:26,             195.770,           51526.733,             573.056,             -10.477,               1.896,               0.016,               5.000,      1952,   916.376
        34,         1,                                        ,      2021/03/17 11:34:00,2021/03/17 11:40:05,               5.641,            1535.006,              17.542,              16.746,               1.671,               0.020,               5.000,       777,   364.553
