 Sample Id,Peak Number,                             Description,               Start Time,  End Time,     Max 12CO2 (ppm),      12CO2 Integral,      13CO2 Integral,           Delta 13C,      12CO2 Baseline,      13CO2 Baseline,           Threshold,Number of data points,Time interval (seconds)
         1,         1,                                        ,      2021/03/09 22:04:16,2021/03/09 22:13:43,              15.282,            4170.941,              46.700,              -3.851,               0.883,               0.007,               5.000,      1210,   567.456
         2,         1,                                        ,      2021/03/09 22:27:26,2021/03/09 22:36:53,              15.004,            4135.237,              46.247,              -5.007,               0.745,               0.008,               5.000,      1210,   567.453
         3,         1,                                        ,      2021/03/09 22:50:09,2021/03/09 22:56:48,               6.543,            1739.811,              19.852,              15.171,               1.228,               0.016,               5.000,       851,   398.931
         4,         1,                                        ,      2021/03/09 23:09:48,2021/03/09 23:17:32,               8.379,            2293.489,              25.947,               6.528,               0.834,               0.010,               5.000,       990,   464.036
         5,         1,                                        ,      2021/03/09 23:30:04,2021/03/09 23:40:29,              23.624,            6289.030,              69.876,             -11.485,               0.686,               0.006,               5.000,      1332,   625.236
         6,         1,                                        ,      2021/03/09 23:52:47,2021/03/10 00:04:25,              41.625,           10960.857,             121.047,             -17.452,               0.624,               0.006,               5.000,      1489,   698.663
         7,         1,                                        ,      2021/03/10 00:16:33,2021/03/10 00:31:14,             192.166,           49642.207,             543.327,             -26.230,               0.606,               0.003,               5.000,      1878,   881.492
         8,         1,                                        ,      2021/03/10 00:43:12,2021/03/10 00:59:16,             380.106,           98031.131,            1071.174,             -27.825,               0.734,               0.006,               5.000,      2054,   963.913
        10,         1,                                        ,      2021/03/10 01:28:53,2021/03/10 01:38:19,              16.096,            4258.934,              47.952,               1.743,               0.680,               0.005,               5.000,      1205,   565.584
        11,         1,                                        ,      2021/03/10 01:50:29,2021/03/10 02:02:54,              59.108,           15643.379,             172.818,             -17.095,               0.586,               0.006,               5.000,      1587,   744.985
        12,         1,                                        ,      2021/03/10 02:15:10,2021/03/10 02:27:26,              57.040,           14932.053,             165.155,             -15.926,               0.628,               0.007,               5.000,      1567,   736.186
        13,         1,                                        ,      2021/03/10 02:39:30,2021/03/10 02:55:00,             281.169,           72608.421,             796.887,             -23.507,               0.532,               0.004,               5.000,      1981,   930.214
        15,         1,                                        ,      2021/03/10 03:24:20,2021/03/10 03:37:02,              69.602,           18316.661,             320.396,             556.308,               0.535,               0.002,               5.000,      1625,   762.540
        16,         1,                                        ,      2021/03/10 03:49:20,2021/03/10 04:02:04,              70.505,           18566.496,             549.200,            1631.838,               0.604,               0.008,               5.000,      1628,   763.979
        17,         1,                                        ,      2021/03/10 04:14:22,2021/03/10 04:27:05,              70.642,           18584.244,             309.706,             482.735,               0.557,               0.006,               5.000,      1626,   763.321
        18,         1,                                        ,      2021/03/10 04:39:23,2021/03/10 04:52:32,              85.431,           22417.964,             410.257,             628.240,               0.562,               0.005,               5.000,      1684,   789.692
        19,         1,                                        ,      2021/03/10 05:04:53,2021/03/10 05:17:45,              76.868,           20154.292,             817.713,            2609.883,               0.541,               0.006,               5.000,      1644,   771.757
        20,         1,                                        ,      2021/03/10 05:29:47,2021/03/10 05:45:18,             276.834,           72123.152,            1635.495,            1017.524,               0.514,               0.006,               5.000,      1982,   930.463
        21,         1,                                        ,      2021/03/10 05:57:30,2021/03/10 06:11:35,             136.893,           36003.860,             403.886,              -1.904,               0.738,               0.011,               5.000,      1800,   844.590
        22,         1,                                        ,      2021/03/10 06:23:45,2021/03/10 06:38:47,             216.791,           56657.781,             687.624,              79.822,               0.588,               0.004,               5.000,      1923,   902.439
        23,         1,                                        ,      2021/03/10 06:51:04,2021/03/10 07:04:08,              81.412,           21477.622,             344.387,             426.657,               0.723,               0.009,               5.000,      1672,   784.557
        24,         1,                                        ,      2021/03/10 07:16:24,2021/03/10 07:29:09,              70.102,           18498.593,             856.684,            3120.431,               0.599,               0.008,               5.000,      1630,   764.769
        25,         1,                                        ,      2021/03/10 07:41:23,2021/03/10 07:54:35,              91.042,           23834.318,             399.783,             492.396,               0.595,               0.006,               5.000,      1689,   792.559
        26,         1,                                        ,      2021/03/10 08:06:51,2021/03/10 08:19:47,              77.346,           20350.101,             228.528,              -0.842,               0.537,               0.006,               5.000,      1652,   775.770
        27,         1,                                        ,      2021/03/10 08:32:07,2021/03/10 08:45:15,              86.822,           22771.724,             274.772,              73.585,               0.597,               0.007,               5.000,      1680,   788.790
        28,         1,                                        ,      2021/03/10 08:57:28,2021/03/10 09:12:11,             190.765,           49485.484,             553.444,              -4.920,               0.530,               0.005,               5.000,      1880,   882.698
        30,         1,                                        ,      2021/03/10 09:41:28,2021/03/10 09:54:09,              68.913,           18108.491,             201.519,              -9.860,               0.470,               0.004,               5.000,      1623,   761.487
        31,         1,                                        ,      2021/03/10 10:06:19,2021/03/10 10:21:40,             257.032,           67101.847,             816.225,              82.255,               0.523,               0.005,               5.000,      1963,   920.933
        32,         1,                                        ,      2021/03/10 10:33:55,2021/03/10 10:47:17,              95.204,           24979.815,             276.830,             -13.978,               0.729,               0.005,               5.000,      1710,   802.016
        33,         1,                                        ,      2021/03/10 10:59:38,2021/03/10 11:12:41,              82.113,           21568.684,             434.679,             793.112,               0.598,               0.005,               5.000,      1667,   782.143
        34,         1,                                        ,      2021/03/10 11:25:00,2021/03/10 11:37:55,              77.704,           20440.976,             279.613,             217.076,               0.553,               0.005,               5.000,      1651,   775.107
        35,         1,                                        ,      2021/03/10 11:50:13,2021/03/10 12:02:59,              73.034,           19219.149,             247.039,             143.650,               0.579,               0.003,               5.000,      1634,   766.729
        36,         1,                                        ,      2021/03/10 12:15:16,2021/03/10 12:27:59,              71.368,           18739.059,            1190.577,            4652.901,               0.542,               0.004,               5.000,      1627,   763.211
        37,         1,                                        ,      2021/03/10 12:40:20,2021/03/10 12:53:33,              89.327,           23420.395,             265.664,               9.257,               0.517,               0.008,               5.000,      1690,   793.157
        38,         1,                                        ,      2021/03/10 13:05:47,2021/03/10 13:20:52,             235.090,           61324.237,             674.989,             -20.675,               0.511,               0.004,               5.000,      1930,   905.444
        39,         1,                                        ,      2021/03/10 13:33:07,2021/03/10 13:47:20,             139.585,           36836.719,             536.122,             294.919,               0.672,               0.005,               5.000,      1818,   853.261
        40,         1,                                        ,      2021/03/10 13:59:32,2021/03/10 14:13:28,             124.145,           32595.147,             369.762,               9.327,               0.666,               0.004,               5.000,      1781,   836.072
        41,         1,                                        ,      2021/03/10 14:25:49,2021/03/10 14:38:39,              74.158,           19550.319,             219.973,               1.101,               0.604,               0.006,               5.000,      1643,   770.612
        42,         1,                                        ,      2021/03/10 14:50:58,2021/03/10 15:04:07,              87.524,           22965.548,             442.822,             715.592,               0.587,               0.005,               5.000,      1683,   789.631
        43,         1,                                        ,      2021/03/10 15:16:19,2021/03/10 15:30:57,             190.260,           49367.034,             551.401,              -6.210,               0.534,               0.004,               5.000,      1870,   877.947
        45,         1,                                        ,      2021/03/10 16:00:20,2021/03/10 16:13:12,              74.622,           19591.155,            1215.847,            4521.786,               0.457,               0.003,               5.000,      1645,   772.089
        46,         1,                                        ,      2021/03/10 16:25:33,2021/03/10 16:38:32,              79.941,           20971.744,            1285.822,            4455.135,               0.542,               0.007,               5.000,      1660,   778.927
        47,         1,                                        ,      2021/03/10 16:50:50,2021/03/10 17:03:37,              71.788,           18862.898,             283.829,             338.791,               0.581,               0.009,               5.000,      1636,   767.318
        48,         1,                                        ,      2021/03/10 17:15:59,2021/03/10 17:28:42,              71.358,           18762.266,             690.740,            2275.614,               0.539,               0.005,               5.000,      1627,   763.678
        49,         1,                                        ,      2021/03/10 17:41:05,2021/03/10 17:54:00,              76.752,           20144.704,             224.631,              -7.859,               0.537,               0.007,               5.000,      1653,   775.861
        50,         1,                                        ,      2021/03/10 18:06:12,2021/03/10 18:21:17,             224.906,           58671.981,             645.846,             -20.595,               0.503,               0.003,               5.000,      1928,   904.345
        51,         1,                                        ,      2021/03/10 18:33:38,2021/03/10 18:46:30,              76.622,           20154.037,             310.794,             372.059,               0.730,               0.009,               5.000,      1644,   771.728
        52,         1,                                        ,      2021/03/10 18:58:43,2021/03/10 19:11:57,              90.554,           23712.049,             439.067,             647.491,               0.565,               0.004,               5.000,      1690,   793.410
        53,         1,                                        ,      2021/03/10 19:24:17,2021/03/10 19:37:11,              75.713,           19935.966,             314.858,             405.198,               0.552,               0.005,               5.000,      1649,   774.116
        54,         1,                                        ,      2021/03/10 19:49:28,2021/03/10 20:02:34,              82.575,           21686.957,             273.320,             121.329,               0.548,               0.003,               5.000,      1673,   785.082
        55,         1,                                        ,      2021/03/10 20:14:43,2021/03/10 20:29:35,             203.367,           53071.696,             631.003,              57.855,               0.537,               0.005,               5.000,      1901,   892.746
        56,         1,                                        ,      2021/03/10 20:41:54,2021/03/10 20:55:04,              86.025,           22579.118,             262.925,              36.055,               0.693,               0.006,               5.000,      1683,   789.855
        57,         1,                                        ,      2021/03/10 21:07:18,2021/03/10 21:21:04,             114.928,           30066.488,             351.443,              39.988,               0.571,               0.004,               5.000,      1760,   825.588
        58,         1,                                        ,      2021/03/10 21:33:14,2021/03/10 21:47:54,             191.347,           49613.313,             552.821,              -8.611,               0.587,               0.004,               5.000,      1877,   880.754
        60,         1,                                        ,      2021/03/10 22:17:17,2021/03/10 22:30:09,              75.015,           19692.089,             391.779,             770.134,               0.532,               0.003,               5.000,      1648,   772.787
        61,         1,                                        ,      2021/03/10 22:42:30,2021/03/10 22:55:30,              80.519,           21112.255,             246.013,              36.762,               0.579,               0.005,               5.000,      1662,   779.778
        62,         1,                                        ,      2021/03/10 23:07:40,2021/03/10 23:22:34,             206.240,           53714.836,            1646.489,            1727.189,               0.565,               0.004,               5.000,      1904,   893.540
        63,         1,                                        ,      2021/03/10 23:34:55,2021/03/10 23:48:02,              85.858,           22528.902,             353.841,             397.413,               0.715,               0.009,               5.000,      1679,   787.502
        64,         1,                                        ,      2021/03/11 00:00:28,2021/03/11 00:13:26,              78.563,           20653.149,             241.863,              41.936,               0.629,               0.007,               5.000,      1658,   777.746
        65,         1,                                        ,      2021/03/11 00:25:50,2021/03/11 00:38:36,              71.775,           18830.441,             498.881,            1357.185,               0.578,               0.006,               5.000,      1633,   765.829
        66,         1,                                        ,      2021/03/11 00:51:02,2021/03/11 01:03:53,              74.399,           19488.024,             264.843,             209.151,               0.565,               0.005,               5.000,      1642,   770.220
        67,         1,                                        ,      2021/03/11 01:16:07,2021/03/11 01:30:55,             198.430,           51665.853,             578.361,              -3.996,               0.480,               0.002,               5.000,      1893,   888.489
        68,         1,                                        ,      2021/03/11 01:43:15,2021/03/11 01:56:13,              79.399,           20830.070,             643.485,            1748.606,               0.628,               0.006,               5.000,      1657,   777.329
        69,         1,                                        ,      2021/03/11 02:08:37,2021/03/11 02:21:26,              75.302,           19736.465,             248.858,             121.879,               0.548,               0.005,               5.000,      1639,   769.331
        70,         1,                                        ,      2021/03/11 02:33:53,2021/03/11 02:46:47,              78.533,           20560.044,             288.632,             249.068,               0.501,               0.004,               5.000,      1649,   773.905
        71,         1,                                        ,      2021/03/11 02:59:01,2021/03/11 03:14:03,             222.280,           57892.807,             790.800,             215.362,               0.509,               0.003,               5.000,      1921,   901.906
        72,         1,                                        ,      2021/03/11 03:26:30,2021/03/11 03:39:28,              80.687,           21191.285,             363.165,             524.799,               0.654,               0.008,               5.000,      1656,   777.725
        73,         1,                                        ,      2021/03/11 03:51:41,2021/03/11 04:06:20,             189.301,           49076.978,             547.384,              -7.612,               0.511,               0.003,               5.000,      1872,   879.068
        75,         1,                                        ,      2021/03/11 04:35:47,2021/03/11 04:48:27,              69.484,           18232.543,             274.707,             340.563,               0.480,               0.004,               5.000,      1619,   760.634
