Syringe,H2O_mL,air_mL,eq_temp,ResetTime
VT016,70,70,22,2019-08-09 20:36:32
VT044,70,70,22,2019-08-09 20:38:52
VT030,70,70,22,2019-08-09 20:41:17
VT008,70,70,22,2019-08-09 20:43:46
VT049,70,70,22,2019-08-09 20:46:03
VT012,70,70,22,2019-08-09 20:48:27
VT019,70,70,22,2019-08-09 20:50:48
VT014,70,70,22,2019-08-09 20:53:14
VT048,70,70,22,2019-08-09 20:55:38
VT039,70,70,22,2019-08-09 20:57:58
VT037,70,70,22,2019-08-09 21:00:54
VT003,70,70,22,2019-08-09 21:03:17
VT004,70,70,22,2019-08-09 21:05:30
VT002,70,70,22,2019-08-09 21:08:05
VT005,70,70,22,2019-08-09 21:10:36
VT032,70,70,22,2019-08-09 21:12:48
VT006,70,70,22,2019-08-09 21:15:07
VT038,70,70,22,2019-08-09 21:17:18
VT015,70,70,22,2019-08-09 21:19:48
U040,70,70,22,2019-08-09 21:22:10
U041,70,70,22,2019-08-09 21:24:36
U046,70,70,22,2019-08-09 21:27:02
U039,70,70,22,2019-08-09 21:29:33
U032,70,70,22,2019-08-09 21:31:52
U043,70,70,22,2019-08-09 21:34:22
U048,70,70,22,2019-08-09 21:36:45
U047,70,80,22,2019-08-09 21:39:18
U050,70,70,22,2019-08-09 21:41:39
U027,70,70,22,2019-08-09 21:44:03
U049,70,90,22,2019-08-09 21:46:32
U044,70,70,22,2019-08-09 21:48:56
U042,70,70,22,2019-08-09 21:51:31
U038,70,70,22,2019-08-09 21:56:12
VT036,70,70,22,2019-08-09 21:58:24
VT010,70,70,22,2019-08-09 22:00:52
VT031,70,70,22,2019-08-09 22:03:04
VT035,70,70,22,2019-08-09 22:05:24
VT041,70,70,22,2019-08-09 22:08:03
VT046,70,70,22,2019-08-09 22:10:26
VT050,70,70,22,2019-08-09 22:12:43
VT042,70,70,22,2019-08-09 22:15:07
VT021,70,70,22,2019-08-09 22:17:32
VT026,70,70,22,2019-08-09 22:19:53
VT009,70,70,22,2019-08-09 22:22:30
VT047,70,70,22,2019-08-09 22:25:05
VT024,70,70,22,2019-08-09 22:27:19
VT013,70,70,22,2019-08-09 22:29:40
VT025,70,70,22,2019-08-09 22:32:08
VT027,70,70,22,2019-08-09 22:34:25
VT017,70,70,22,2019-08-09 22:36:42
VT043,70,70,22,2019-08-09 22:38:57
VT028,70,70,22,2019-08-09 22:41:24
VT040,70,70,22,2019-08-09 22:43:42
U024,70,70,22,2019-08-09 22:46:07
U026,70,70,22,2019-08-09 22:48:32
U023,70,70,22,2019-08-09 22:50:54
U029,70,70,22,2019-08-09 22:53:21
U021,70,70,22,2019-08-09 22:55:40
U030,70,70,22,2019-08-09 22:57:58
U020,70,70,22,2019-08-09 23:00:16
U025,70,70,22,2019-08-09 23:02:52
U036,70,70,22,2019-08-09 23:05:16
U031,70,70,22,2019-08-09 23:07:36
U033,70,70,22,2019-08-09 23:10:10
U035,70,70,22,2019-08-09 23:12:50
U022,70,70,22,2019-08-09 23:15:17
U010,70,70,22,2019-08-09 23:17:48
U008,70,70,22,2019-08-09 23:20:09
U017,70,70,22,2019-08-09 23:22:26
U045,70,70,22,2019-08-09 23:24:48
U009,70,70,22,2019-08-09 23:27:16
U013,70,70,22,2019-08-09 23:29:35
U018,70,70,22,2019-08-09 23:31:57
U012,70,70,22,2019-08-09 23:34:17
U001,70,70,22,2019-08-09 23:36:35
U004,70,70,22,2019-08-09 23:38:55
U015,70,70,22,2019-08-09 23:41:30
U002,70,70,22,2019-08-09 23:43:56
U005,70,70,22,2019-08-09 23:46:22
U011,70,70,22,2019-08-09 23:49:03
U019,70,70,22,2019-08-09 23:51:32
VT023,70,70,22,2019-08-09 23:54:01
VT020,70,70,22,2019-08-09 23:56:34
VT018,70,70,22,2019-08-09 23:58:57
VT034,70,70,22,2019-08-10 00:01:20
VT011,70,70,22,2019-08-10 00:04:18
VT029,70,70,22,2019-08-10 00:06:43
VT001,70,70,22,2019-08-10 00:08:53
VT033,70,70,22,2019-08-10 00:11:19
VT007,70,70,22,2019-08-10 00:13:52





